,날짜,평균기온,최고기온,최저기온
11,2015-01-01,-0.9,9.0,-9.8
12,2015-02-01,1.0,13.0,-13.0
13,2015-03-01,6.3,21.9,-6.9
14,2015-04-01,13.3,28.3,3.5
15,2015-05-01,18.9,32.2,8.3
16,2015-06-01,23.6,34.9,15.6
17,2015-07-01,25.8,36.0,18.2
18,2015-08-01,26.3,34.4,18.9
19,2015-09-01,22.4,31.0,14.2
20,2015-10-01,15.5,26.6,1.1
21,2015-11-01,8.9,21.0,-7.3
22,2015-12-01,1.6,12.2,-9.5
23,2016-01-01,-3.2,9.5,-18.0
24,2016-02-01,0.2,14.4,-10.0
25,2016-03-01,7.0,21.4,-7.5
26,2016-04-01,14.1,29.6,5.1
27,2016-05-01,19.6,31.9,8.9
28,2016-06-01,23.6,32.2,17.1
29,2016-07-01,26.2,34.1,19.8
30,2016-08-01,28.0,36.6,16.1
31,2016-09-01,23.1,31.1,14.3
32,2016-10-01,16.1,29.0,0.7
33,2016-11-01,6.8,18.6,-6.2
34,2016-12-01,1.2,13.6,-9.8
35,2017-01-01,-1.8,11.4,-12.6
36,2017-02-01,-0.2,12.3,-9.3
37,2017-03-01,6.3,18.9,-5.3
38,2017-04-01,13.9,27.8,3.1
39,2017-05-01,19.5,30.3,10.0
40,2017-06-01,23.3,34.1,14.5
41,2017-07-01,26.9,35.4,21.9
42,2017-08-01,25.9,35.3,16.1
43,2017-09-01,22.1,31.4,11.2
44,2017-10-01,16.4,29.4,2.5
45,2017-11-01,5.6,18.4,-6.6
46,2017-12-01,-1.9,8.7,-12.3
47,2018-01-01,-4.0,8.7,-17.8
48,2018-02-01,-1.6,10.4,-13.4
49,2018-03-01,8.1,22.1,-6.7
50,2018-04-01,13.0,26.3,0.1
51,2018-05-01,18.2,29.6,6.9
52,2018-06-01,23.1,32.9,16.3
53,2018-07-01,27.8,38.3,17.7
54,2018-08-01,28.8,39.6,20.2
55,2018-09-01,21.5,30.9,10.8
56,2018-10-01,13.1,25.6,0.7
57,2018-11-01,7.8,19.4,-3.1
58,2018-12-01,-0.6,13.5,-14.4
59,2019-01-01,-0.9,8.5,-10.1
60,2019-02-01,1.0,14.5,-10.2
61,2019-03-01,7.1,17.6,-1.7
62,2019-04-01,12.1,28.2,0.3
63,2019-05-01,19.4,33.4,8.4
64,2019-06-01,22.5,32.8,14.1
65,2019-07-01,25.9,36.1,19.3
66,2019-08-01,27.2,36.8,18.5
67,2019-09-01,22.6,30.5,13.6
68,2019-10-01,16.4,28.2,4.7
69,2019-11-01,7.6,22.1,-4.6
70,2019-12-01,1.4,12.9,-10.9
71,2020-01-01,1.6,11.9,-6.5
72,2020-02-01,2.5,15.6,-11.8
73,2020-03-01,7.7,20.6,-2.8
74,2020-04-01,11.1,23.8,1.9
75,2020-05-01,18.0,30.0,9.2
76,2020-06-01,23.9,35.4,14.8
77,2020-07-01,24.1,32.9,17.2
78,2020-08-01,26.5,34.5,21.5
79,2020-09-01,21.4,29.5,13.6
80,2020-10-01,14.3,23.6,3.2
81,2020-11-01,8.0,20.0,-3.6
82,2020-12-01,-0.3,11.4,-12.9
83,2021-01-01,-2.4,13.9,-18.6
84,2021-02-01,2.7,17.4,-10.6
85,2021-03-01,9.0,22.9,-1.2
86,2021-04-01,14.2,28.2,3.1
87,2021-05-01,17.1,30.8,7.3
88,2021-06-01,22.8,31.6,13.3
89,2021-07-01,28.1,36.5,19.6
90,2021-08-01,25.9,33.7,18.1
91,2021-09-01,22.6,30.3,16.0
92,2021-10-01,15.6,28.8,1.3
93,2021-11-01,8.2,21.3,-3.7
94,2021-12-01,0.6,13.3,-15.5
95,2022-01-01,-2.2,8.4,-11.3
96,2022-02-01,-1.1,11.5,-10.7
97,2022-03-01,7.7,19.5,-3.0
98,2022-04-01,14.8,28.7,3.5
99,2022-05-01,19.1,30.7,7.9
100,2022-06-01,23.3,32.7,14.9
101,2022-07-01,27.3,36.1,20.8
102,2022-08-01,25.7,32.9,16.1
103,2022-09-01,22.4,32.5,12.3
104,2022-10-01,14.6,27.6,4.4
105,2022-11-01,10.0,22.1,-8.1
106,2022-12-01,-2.8,10.2,-13.7
107,2023-01-01,-1.5,12.5,-17.3
108,2023-02-01,2.3,12.4,-5.3
109,2023-03-01,9.8,25.1,-1.9
110,2023-04-01,13.8,28.4,3.1
111,2023-05-01,19.5,31.2,7.9
112,2023-06-01,23.4,34.0,16.6
113,2023-07-01,26.7,34.9,21.6
114,2023-08-01,27.2,35.8,20.8
115,2023-09-01,23.7,32.8,15.2
116,2023-10-01,15.8,24.6,5.4
117,2023-11-01,6.8,25.9,-7.3
118,2023-12-01,1.1,16.8,-14.7
119,2024-01-01,-0.5,10.6,-14.0
120,2024-02-01,3.8,18.3,-3.1
121,2024-03-01,7.0,23.4,-8.1
122,2024-04-01,16.3,29.4,5.5
123,2024-05-01,18.5,28.5,6.9
124,2024-06-01,24.6,35.8,15.7
125,2024-07-01,26.6,33.3,21.3
126,2024-08-01,29.3,36.4,22.6
127,2024-09-01,25.5,34.6,15.6
128,2024-10-01,16.7,25.7,7.1
129,2024-11-01,9.7,25.1,-3.4
130,2024-12-01,0.8,13.0,-7.7
131,2025-01-01,-0.4,11.4,-12.2
132,2025-02-01,-1.2,14.2,-11.8
133,2025-03-01,8.0,24.0,-1.9
134,2025-04-01,13.4,27.1,1.1
135,2025-05-01,17.8,30.8,8.2
136,2025-06-01,24.0,34.2,15.2
