지점번호,지점명,날짜,평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일교차
143,대구,2015-06-01,25.5,32.8,16:19,17.0,05:51,15.8
143,대구,2015-06-02,24.1,27.3,14:29,22.2,23:55,5.1
143,대구,2015-06-03,24.6,31.0,15:22,19.6,23:51,11.4
143,대구,2015-06-04,24.2,32.1,14:25,15.5,05:29,16.6
143,대구,2015-06-05,17.5,23.1,00:10,13.9,23:18,9.2
143,대구,2015-06-06,20.0,28.2,17:03,12.9,04:44,15.3
143,대구,2015-06-07,22.9,30.8,15:05,16.1,05:10,14.7
143,대구,2015-06-08,22.1,27.1,12:03,17.9,04:29,9.2
143,대구,2015-06-09,24.8,31.3,16:18,18.2,04:22,13.1
143,대구,2015-06-10,26.9,35.0,14:05,19.8,05:26,15.2
143,대구,2015-06-11,23.3,26.6,12:51,20.7,04:25,5.9
143,대구,2015-06-12,25.3,33.4,14:40,19.2,04:24,14.2
143,대구,2015-06-13,22.8,30.2,15:20,17.6,05:39,12.6
143,대구,2015-06-14,24.1,30.2,14:05,17.3,05:30,12.9
143,대구,2015-06-15,25.5,31.9,15:05,20.5,05:14,11.4
143,대구,2015-06-16,24.8,30.3,13:43,21.9,23:56,8.4
143,대구,2015-06-17,22.4,26.0,14:50,20.0,23:46,6.0
143,대구,2015-06-18,22.1,25.6,16:19,19.2,03:46,6.4
143,대구,2015-06-19,22.0,28.1,15:14,18.5,22:55,9.6
143,대구,2015-06-20,18.6,20.9,12:02,17.4,23:37,3.5
143,대구,2015-06-21,21.6,27.5,14:39,17.2,01:59,10.3
143,대구,2015-06-22,23.6,29.9,15:09,18.9,01:43,11.0
143,대구,2015-06-23,24.3,30.4,14:35,19.1,05:16,11.3
143,대구,2015-06-24,22.9,27.3,14:25,20.8,05:13,6.5
143,대구,2015-06-25,21.4,25.8,11:22,19.0,23:16,6.8
143,대구,2015-06-26,21.7,24.1,17:43,19.0,00:02,5.1
143,대구,2015-06-27,21.3,24.7,15:43,18.4,23:59,6.3
143,대구,2015-06-28,20.5,25.3,16:46,16.6,05:09,8.7
143,대구,2015-06-29,24.9,32.4,16:33,16.9,04:57,15.5
143,대구,2015-06-30,20.8,25.4,00:01,18.2,19:30,7.2
143,대구,2015-07-01,24.0,30.4,16:08,18.5,00:22,11.9
143,대구,2015-07-02,24.5,31.2,15:53,16.8,05:29,14.4
143,대구,2015-07-03,24.0,30.6,14:48,19.0,05:44,11.6
143,대구,2015-07-04,21.2,25.6,14:18,18.1,04:35,7.5
143,대구,2015-07-05,22.5,28.1,14:37,18.1,05:46,10.0
143,대구,2015-07-06,22.0,26.5,11:41,19.3,03:08,7.2
143,대구,2015-07-07,18.8,21.3,10:38,17.7,23:25,3.6
143,대구,2015-07-08,20.1,22.6,12:40,17.7,00:01,4.9
143,대구,2015-07-09,20.6,22.2,13:10,19.4,03:36,2.8
143,대구,2015-07-10,23.2,27.9,16:30,20.5,03:03,7.4
143,대구,2015-07-11,25.1,31.8,14:52,20.6,04:41,11.2
143,대구,2015-07-12,24.7,26.4,10:09,23.4,02:51,3.0
143,대구,2015-07-13,26.2,29.0,16:39,23.9,05:50,5.1
143,대구,2015-07-14,27.2,32.4,16:11,21.2,05:11,11.2
143,대구,2015-07-15,25.7,31.2,13:51,21.3,23:45,9.9
143,대구,2015-07-16,21.5,25.9,14:02,19.1,23:33,6.8
143,대구,2015-07-17,21.6,25.2,12:46,17.2,03:43,8.0
143,대구,2015-07-18,24.1,29.0,16:31,20.0,00:53,9.0
143,대구,2015-07-19,22.8,27.3,12:11,19.6,05:37,7.7
143,대구,2015-07-20,22.1,24.9,12:57,19.4,01:31,5.5
143,대구,2015-07-21,24.6,30.5,15:22,20.6,00:27,9.9
143,대구,2015-07-22,26.8,31.4,13:33,22.0,05:11,9.4
143,대구,2015-07-23,27.2,30.4,12:59,24.7,04:31,5.7
143,대구,2015-07-24,28.0,30.2,16:14,25.3,02:23,4.9
143,대구,2015-07-25,28.4,32.4,14:42,25.3,23:26,7.1
143,대구,2015-07-26,29.0,35.1,14:26,22.3,05:34,12.8
143,대구,2015-07-27,29.2,33.1,11:39,25.0,05:39,8.1
143,대구,2015-07-28,29.8,34.5,13:40,25.5,06:34,9.0
143,대구,2015-07-29,29.2,33.4,13:01,25.9,05:53,7.5
143,대구,2015-07-30,31.2,37.0,14:50,26.3,02:53,10.7
143,대구,2015-07-31,30.5,36.3,15:53,26.6,04:57,9.7
143,대구,2015-08-01,30.8,36.8,14:54,25.7,05:49,11.1
143,대구,2015-08-02,28.6,35.6,14:33,24.3,05:16,11.3
143,대구,2015-08-03,30.4,36.4,14:43,25.8,05:24,10.6
143,대구,2015-08-04,30.3,36.8,15:54,24.3,05:41,12.5
143,대구,2015-08-05,30.7,37.7,16:14,24.3,06:01,13.4
143,대구,2015-08-06,31.3,38.3,15:15,25.6,05:31,12.7
143,대구,2015-08-07,29.4,37.7,15:33,24.7,05:45,13.0
143,대구,2015-08-08,27.6,35.2,13:01,24.5,05:42,10.7
143,대구,2015-08-09,28.7,34.5,15:10,23.6,02:21,10.9
143,대구,2015-08-10,28.2,33.5,15:21,24.6,05:09,8.9
143,대구,2015-08-11,26.5,31.5,14:42,19.8,23:20,11.7
143,대구,2015-08-12,21.1,22.8,14:49,19.3,05:59,3.5
143,대구,2015-08-13,24.0,30.7,14:06,20.6,18:13,10.1
143,대구,2015-08-14,25.8,32.0,16:03,21.2,05:30,10.8
143,대구,2015-08-15,26.9,33.2,14:38,21.8,05:17,11.4
143,대구,2015-08-16,25.9,30.3,13:46,22.9,05:38,7.4
143,대구,2015-08-17,24.7,30.3,13:17,21.5,07:03,8.8
143,대구,2015-08-18,24.4,28.2,14:50,20.7,05:36,7.5
143,대구,2015-08-19,24.9,28.2,14:41,21.5,04:09,6.7
143,대구,2015-08-20,23.2,24.5,15:14,21.5,23:50,3.0
143,대구,2015-08-21,23.2,28.6,15:57,19.9,04:52,8.7
143,대구,2015-08-22,25.3,30.4,13:41,21.6,03:47,8.8
143,대구,2015-08-23,25.8,29.5,14:57,22.3,06:44,7.2
143,대구,2015-08-24,24.9,27.3,11:06,22.8,22:42,4.5
143,대구,2015-08-25,21.9,24.0,08:05,20.3,20:40,3.7
143,대구,2015-08-26,22.8,28.5,15:07,19.6,04:10,8.9
143,대구,2015-08-27,23.7,29.9,13:59,18.3,05:59,11.6
143,대구,2015-08-28,23.2,29.5,13:38,19.5,06:07,10.0
143,대구,2015-08-29,23.3,28.6,15:42,20.0,05:03,8.6
143,대구,2015-08-30,24.0,29.0,13:21,19.1,06:00,9.9
143,대구,2015-08-31,23.9,28.6,14:07,20.8,05:28,7.8
143,대구,2016-06-01,20.6,25.1,13:29,16.6,23:56,8.5
143,대구,2016-06-02,20.8,28.0,16:45,12.3,05:11,15.7
143,대구,2016-06-03,23.9,31.2,14:45,15.9,05:29,15.3
143,대구,2016-06-04,20.5,23.0,11:04,17.4,23:54,5.6
143,대구,2016-06-05,20.8,25.6,13:49,16.8,01:39,8.8
143,대구,2016-06-06,18.4,19.3,15:14,17.7,08:59,1.6
143,대구,2016-06-07,22.9,28.4,13:51,17.8,04:34,10.6
143,대구,2016-06-08,21.9,24.7,15:00,19.6,08:28,5.1
143,대구,2016-06-09,22.7,27.4,12:44,19.7,05:22,7.7
143,대구,2016-06-10,24.5,32.1,16:05,18.2,04:14,13.9
143,대구,2016-06-11,25.3,31.6,13:45,20.7,05:11,10.9
