지점번호,지점명,일시,습도,최저습도(%rh)
108,서울,2015-01-01,41.4,29
108,서울,2015-01-02,45.9,28
108,서울,2015-01-03,56.1,35
108,서울,2015-01-04,70.1,54
108,서울,2015-01-05,73.1,51
108,서울,2015-01-06,52.4,27
108,서울,2015-01-07,33.1,23
108,서울,2015-01-08,45.8,25
108,서울,2015-01-09,58.3,37
108,서울,2015-01-10,56.5,32
108,서울,2015-01-11,57.8,37
108,서울,2015-01-12,37.8,23
108,서울,2015-01-13,39.6,22
108,서울,2015-01-14,41.1,29
108,서울,2015-01-15,53.6,33
108,서울,2015-01-16,73,55
108,서울,2015-01-17,46,28
108,서울,2015-01-18,68.4,41
108,서울,2015-01-19,68.1,51
108,서울,2015-01-20,55.8,33
108,서울,2015-01-21,58.3,42
108,서울,2015-01-22,60.6,47
108,서울,2015-01-23,66.4,46
108,서울,2015-01-24,62.9,46
108,서울,2015-01-25,78.4,53
108,서울,2015-01-26,87.5,64
108,서울,2015-01-27,55.4,35
108,서울,2015-01-28,49.3,32
108,서울,2015-01-29,56.4,46
108,서울,2015-01-30,51.8,31
108,서울,2015-01-31,46.4,31
108,서울,2015-02-01,44.9,23
108,서울,2015-02-02,47.3,24
108,서울,2015-02-03,54.5,27
108,서울,2015-02-04,64.5,25
108,서울,2015-02-05,57.1,38
108,서울,2015-02-06,57.3,33
108,서울,2015-02-07,65.3,42
108,서울,2015-02-08,34.1,23
108,서울,2015-02-09,54.6,25
108,서울,2015-02-10,69,51
108,서울,2015-02-11,60.3,21
108,서울,2015-02-12,36.8,17
108,서울,2015-02-13,46.4,24
108,서울,2015-02-14,72.9,58
108,서울,2015-02-15,61.6,38
108,서울,2015-02-16,91.9,54
108,서울,2015-02-17,78.5,59
108,서울,2015-02-18,72,59
108,서울,2015-02-19,67.1,35
108,서울,2015-02-20,55.3,31
108,서울,2015-02-21,79,47
108,서울,2015-02-22,78,52
108,서울,2015-02-23,60.4,34
108,서울,2015-02-24,60,35
