날짜,지점,평균기온,최저기온,최고기온
2025-06-11,108,22.7,15.9,28.5
2025-06-12,108,25.5,17.9,33.1
2025-06-13,108,24.0,20.1,29.4
2025-06-14,108,25.6,20.3,32.1
2025-06-15,108,26.3,21.7,33.2
2025-06-16,108,23.0,21.8,25.1
2025-06-17,108,24.8,21.1,29.6
2025-06-18,108,25.5,21.2,30.9
2025-06-19,108,28.1,21.1,34.2
2025-06-20,108,24.1,22.2,28.3
2025-06-21,108,22.0,20.5,24.2
2025-06-22,108,23.3,18.1,28.6
2025-06-23,108,26.1,19.4,31.7
2025-06-24,108,25.0,20.5,28.0
2025-06-25,108,20.9,19.5,22.1
2025-06-26,108,22.2,19.9,24.2
2025-06-27,108,25.0,21.1,29.3
2025-06-28,108,26.2,24.5,28.1
2025-06-29,108,27.1,24.9,30.2
2025-06-30,108,28.2,25.6,31.2
2025-07-01,108,28.6,26.2,31.8
2025-07-02,108,28.6,26.8,30.9
2025-07-03,108,28.3,26.5,32.0
2025-07-04,108,27.2,25.7,30.0
2025-07-05,108,28.4,26.0,32.3
2025-07-06,108,29.1,26.3,32.8
2025-07-07,108,29.1,26.7,33.2
2025-07-08,108,31.3,26.9,37.8
2025-07-09,108,31.9,27.4,36.0
2025-07-10,108,31.4,27.3,36.2
,,,,
